Concept,feat_name,feat_value,lemtzd_feat_val,weight,conc(w),,,,
bed,RelatedTo,sleeping,['sleep'],14.61204982,5,,,,
bed,RelatedTo,furniture,['furniture'],10.91311138,5,,8773.444444,,
bed,UsedFor,have_sex,['have' 'sex'],9.38083152,5,,,,
bed,RelatedTo,mattress,['mattress'],8.723989913,5,,365.5601852,,
bed,RelatedTo,place,['place'],8.361817984,5,,1.001534754,,
bed,RelatedTo,pillows,['pillow'],6.052437525,5,,,,
bed,RelatedTo,sleeping_place,['sleep' 'place'],5.360596982,5,,,,
bed,RelatedTo,sheets,['sheet'],5.276362383,5,,,,
bed,RelatedTo,sleeping_furniture,['sleep' 'furniture'],5.270294109,5,,,,
bed,RelatedTo,cot,['cot'],4.915689168,5,,,,
bed,RelatedTo,pillow,['pillow'],4.593909011,5,,,,
bed,IsA,place,['place'],4.472135955,5,,,,
bed,UsedFor,resting_on,['rest'],4.472135955,5,,,,
bed,AtLocation,house,['house'],4,5,,,,
bed,UsedFor,making_love,['make' 'love'],3.464101615,5,,,,
bed,AtLocation,room,['room'],3.464101615,5,,,,
bed,IsA,furniture,['furniture'],2.828427125,5,,,,
bed,UsedFor,lie_down,['lie' 'down'],2.828427125,5,,,,
bed,UsedFor,fucking_in,['fuck'],2.828427125,5,,,,
bed,AtLocation,rest_area,['rest' 'area'],2.828427125,5,,,,
bed,AtLocation,neighbor's_house,['neighbor' 'house'],2.828427125,5,,,,
bed,AtLocation,hospital,['hospital'],2.828427125,5,,,,
bed,HasProperty,flat,['flat'],2.828427125,5,,,,
bed,IsA,stratum,['stratum'],2,5,,,,
bed,IsA,good_place_to_lie,['good' 'place' 'lie'],2,5,,,,
bed,IsA,bed,['bed'],14.61204982,5,,,,
bed,RelatedTo,bed,['bed'],14.61204982,5,,,,
bed,RelatedTo,crib,['crib'],0.245,5,,,,
bed,Antonym,furniture,['furniture'],0.132,5,,,,
bed,Antonym,chair,['chair'],0.5,5,,,,
bed,RelatedTo,couch,['couch'],1.366,5,,,,
bed,Antonym,couch,['couch'],0.365,5,,,,
bed,DistinctFrom,couch,['couch'],0.197,5,,,,
bed,RelatedTo,bedroom,['bedroom'],4.278317426,5,,,,
bed,PartOf,bedroom,['bedroom'],2,5,,,,
bed,RelatedTo,blanket,['blanket'],1.14,5,,,,
bed,RelatedTo,room,['room'],3.905892984,5,,,,
creator,RelatedTo,god,['god'],2,3.07,,,,
creator,RelatedTo,create,['create'],2,3.07,,,,
creator,RelatedTo,creation,['creation'],2,3.07,,,,
creator,IsA,person,['person'],2,3.07,,,,
creator,RelatedTo,creative,['creative'],1,3.07,,,,
creator,RelatedTo,deity,['deity'],1,3.07,,,,
creator,RelatedTo,universe,['universe'],1,3.07,,,,
creator,RelatedTo,creatrix,['creatrix'],1,3.07,,,,
creator,RelatedTo,recreate,['recreate'],1,3.07,,,,
creator,RelatedTo,recreation,['recreation'],1,3.07,,,,
creator,CapableOf,name_invention,['name' 'invention'],1,3.07,,,,
creator,IsA,creator,['creator'],2,3.07,,,,
creator,RelatedTo,creator,['creator'],2,3.07,,,,
creator,Synonym,maker,['maker'],1,3.07,,,,
creator,RelatedTo,maker,['maker'],0.611,3.07,,,,
cow,RelatedTo,animal,['animal'],8.613942187,4.96,,,,
cow,RelatedTo,milk,['milk'],7.384307686,4.96,,,,
cow,RelatedTo,moo,['moo'],5.069516742,4.96,,,,
cow,AtLocation,countryside,['countryside'],4.898979486,4.96,,,,
cow,RelatedTo,bovine,['bovine'],4.725674555,4.96,,,,
cow,RelatedTo,farm,['farm'],4.16557319,4.96,,,,
cow,AtLocation,stable,['stable'],3.464101615,4.96,,31584400,8773.444444,365.5601852
cow,RelatedTo,farm_animal,['farm' 'animal'],3.226763084,4.96,,,,
cow,RelatedTo,beef,['beef'],3.11897419,4.96,,,,
cow,RelatedTo,bull,['bull'],2.924380276,4.96,,,,
cow,AtLocation,slaughter_house,['slaughter' 'house'],2.828427125,4.96,,,,
cow,AtLocation,hamburger,['hamburger'],2.828427125,4.96,,15792.2,,
cow,RelatedTo,milk_animal,['milk' 'animal'],2.560468707,4.96,,,,
cow,RelatedTo,udders,['udder'],2.263625411,4.96,,,,
cow,RelatedTo,udder,['udder'],2.143828351,4.96,,,,
cow,IsA,cattle,['cattle'],2,4.96,,,,
cow,IsA,unpleasant_woman,['unpleasant' 'woman'],2,4.96,,,,
cow,IsA,placental,['placental'],2,4.96,,,,
cow,CapableOf,jump_over_moon,['jump' 'moon'],2,4.96,,,,
cow,CapableOf,produce_methane_gas,['produce' 'methane' 'gas'],2,4.96,,,,
cow,AtLocation,dairy_farm,['dairy' 'farm'],2,4.96,,4.386722222,,
cow,AtLocation,ranch,['ranch'],2,4.96,,0.182780093,,
cow,AtLocation,paddock,['paddock'],2,4.96,,,,
cow,AtLocation,butcher_shop,['butcher' 'shop'],2,4.96,,,,
cow,AtLocation,milking_barn,['milk' 'barn'],2,4.96,,,,
cow,IsA,cow,['cow'],8.613942187,4.96,,,,
cow,RelatedTo,cow,['cow'],8.613942187,4.96,,,,
cow,RelatedTo,cattle,['cattle'],2.076535576,4.96,,,,
cow,AtLocation,cattle,['cattle'],1,4.96,,,,
cow,PartOf,cattle,['cattle'],1,4.96,,,,
area,IsA,body_part,['body' 'part'],2,3.72,,,,
area,IsA,topic,['topic'],2,3.72,,,,
area,IsA,structure,['structure'],2,3.72,,,,
area,IsA,extent,['extent'],2,3.72,,,,
area,IsA,region,['region'],2,3.72,,,,
area,IsA,place,['place'],2,3.72,,,,
area,RelatedTo,square_inch,['square' 'inch'],1,3.72,,,,
area,RelatedTo,penalty_area,['penalty' 'area'],1,3.72,,,,
area,RelatedTo,object,['object'],1,3.72,,,,
area,RelatedTo,genitals,['genitals'],1,3.72,,,,
area,RelatedTo,square_meter,['square' 'meter'],1,3.72,,,,
